model,horizon,MAE,RMSE
B1_seasonal_residual,4,34.71240234375,45.43221792716321
B1_seasonal_residual,5,26.072786331176758,34.0970438372229
B1_seasonal_residual,6,23.48063850402832,30.93500917214134
B1_seasonal_residual,7,22.94613265991211,30.458693252155552
B1_seasonal_residual,8,25.016456604003906,33.02577266554486
B1_seasonal_residual,9,25.667707443237305,34.00552143816133
B1_seasonal_residual,10,23.925506591796875,31.558188327093195
B1_seasonal_residual,11,22.52113914489746,29.89332229400803
B1_seasonal_residual,12,27.16985511779785,35.47789151193758
B1_seasonal_residual,13,24.92245864868164,32.90572322702769
B1_seasonal_residual,14,26.98912239074707,35.49038437115749
B1_seasonal_residual,15,23.817838668823242,31.59201319719214
B1_seasonal_residual,16,24.596826553344727,32.50425715807758
B1_seasonal_residual,17,23.50887680053711,30.93952408151465
B1_seasonal_residual,18,23.894136428833008,31.55222991946251
B1_seasonal_residual,19,22.593345642089844,30.034913156205086
B1_seasonal_residual,20,23.468515396118164,30.883951843073977
B1_seasonal_residual,21,22.499053955078125,29.73494050795661
B1_seasonal_residual,22,25.337953567504883,33.42366828405434
B1_seasonal_residual,23,24.58519744873047,32.03374609176821
B1_seasonal_residual,24,23.502239227294922,31.102030539997504
B2_long_mlp_compression,1,47.527320861816406,63.43009693564739
B2_long_mlp_compression,2,31.711814880371094,40.8424035618735
B2_long_mlp_compression,3,61.23344421386719,78.17838176247957
B2_long_mlp_compression,4,60.80221939086914,79.42562362046647
B2_long_mlp_compression,5,47.75039291381836,63.643448409012414
B2_long_mlp_compression,6,48.16307067871094,63.062439993157774
B2_long_mlp_compression,7,49.816566467285156,65.14431470421076
B2_long_mlp_compression,8,44.706790924072266,59.884605831757796
B2_long_mlp_compression,9,46.374881744384766,61.53668359388873
B2_long_mlp_compression,10,50.964229583740234,67.29358267718587
B2_long_mlp_compression,11,47.51103973388672,61.464829723743236
B2_long_mlp_compression,12,47.03583908081055,62.492937100923655
B2_long_mlp_compression,13,52.38424301147461,66.55977107082025
B2_long_mlp_compression,14,44.2619514465332,58.96028067492237
B2_long_mlp_compression,15,47.98390579223633,61.70913493142142
B2_long_mlp_compression,16,48.828521728515625,63.25472244907391
B2_long_mlp_compression,17,55.508033752441406,71.2702822009286
B2_long_mlp_compression,18,44.77683639526367,57.92076855228615
B2_long_mlp_compression,19,46.49215316772461,59.78113769265457
B2_long_mlp_compression,20,39.241336822509766,51.19084095095162
B2_long_mlp_compression,21,40.528343200683594,52.782080273961114
B2_long_mlp_compression,22,33.84278106689453,44.168926214803435
B2_long_mlp_compression,23,29.7686710357666,38.300049593024355
B2_long_mlp_compression,24,43.151039123535156,56.580731264191215
B3_reduced_HMM_features,1,30.777921676635742,39.20810674803904
B3_reduced_HMM_features,2,69.45753479003906,92.85633960418373
B3_reduced_HMM_features,3,36.67898178100586,47.71258453129793
B3_reduced_HMM_features,4,41.47311782836914,54.493519808981645
B3_reduced_HMM_features,5,43.32729721069336,57.839533375484194
B3_reduced_HMM_features,6,50.70920181274414,66.18298497348091
B3_reduced_HMM_features,7,49.61140441894531,65.210592595979
B3_reduced_HMM_features,8,58.4012565612793,72.16906555746375
B3_reduced_HMM_features,9,53.49844741821289,67.98174803876589
B3_reduced_HMM_features,10,53.60071563720703,68.46391827429066
B3_reduced_HMM_features,11,43.86149978637695,58.69144355760046
B3_reduced_HMM_features,12,47.619041442871094,62.29529366879371
B3_reduced_HMM_features,13,51.75835037231445,67.51745651010374
B3_reduced_HMM_features,14,47.782535552978516,62.05370146280055
B3_reduced_HMM_features,15,61.92586898803711,77.40160714780087
B3_reduced_HMM_features,16,41.54816818237305,54.48029496122887
B3_reduced_HMM_features,17,47.676387786865234,62.24677608368565
B3_reduced_HMM_features,18,48.89699935913086,62.13181787915713
B3_reduced_HMM_features,19,61.16012954711914,79.76641007204255
B3_reduced_HMM_features,20,48.89998245239258,65.82140624091261
B3_reduced_HMM_features,21,35.45509719848633,45.87841118959167
